Baden-Baden Germany, N4845-N4845 E00815-E00815
Baden-Wurttemberg Germany, N4730-N4948 E01030-E00730
Badlands National Park, N4330-N4350 W10152-W10252
Baffin Island, N6200-N7330 W06130-W09000
Bagalkot India, N1614-N1614 E07547-E07547
Bagot County Quebec, N4525-N4555 W07220-W07255
Bahamas, N2045-N2800 W07200-W07930
Bahariya Oasis, N2815-N2815 E02857-E02857
Bahia Brazil, S1820-S0820 W03720-W04640
Bahrain, N2530-N2630 E05055-E05010
Baia Mare Romania, N4739-N4739 E02336-E02336
Baie Verte Peninsula, N4945-N5010 W05525-W05655
Baikal Mountains, N5345-N5645 E11000-E10800
Baikal region, N5100-N6100 E11830-E10400
Baikal rift zone, N5130-N5800 E12000-E10000
Bailey County Texas, N3350-N3420 W10235-W10300
Baixo Alentejo, N3720-N3835 W00655-W00853
Baja California, N2300-N3230 W10900-W11700
Baja California Mexico, N2800-N3240 W11445-W11715
Baja California Sur Mexico, N2250-N2800 W10910-W11500
Bakal Russian Federation, N5456-N5456 E05848-E05848
Baker County Florida, N3007-N3031 W08202-W08225
Baker County Georgia, N3105-N3126 W08408-W08437
Baker County Oregon, N4415-N4505 W11649-W11833
Bakersfield California, N3525-N3525 W11900-W11900
Bakhchisarai Ukraine, N4444-N4444 E03353-E03353
Bakony Mountains, N4650-N4730 E01815-E01715
Baku Azerbaijan, N4022-N4022 E04953-E04953
Balcanoona Australia, S3033-S3033 E13922-E13922
Baldwin County Alabama, N3013-N3118 W08722-W08802
Baldwin County Georgia, N3255-N3311 W08304-W08325
Balearic Islands, N3835-N4005 E00425-E00105
Balei Russian Federation, N5136-N5136 E11638-E11638
Bali, S0900-S0800 E11545-E11430
Balkan Mountains, N4235-N4400 E02800-E02215
Balkan Peninsula, N3620-N4820 E02940-E01325
Balkhan, N3914-N4017 E05500-E05320
Balkhash Kazakhstan, N4651-N4651 E07500-E07500
Ballard County Kentucky, N3655-N3715 W08850-W08912
Balmat-Edwards mining district, N4415-N4420 W07515-W07525
Baltic Plain, N5400-N6000 E03130-E01900
Baltic region, N5200-N6800 E03100-E01000
Baltic Sea, N5400-N6600 E03000-E01000
Baltimore County Maryland, N3912-N394326 W07620-W07654
Baltimore Maryland, N3918-N3918 W07638-W07638
Baluchistan Pakistan, N2450-N3020 E06840-E06100
Bamberg County South Carolina, N3302-N3325 W08047-W08115
Bamble Norway, N5859-N5859 E00938-E00938
Bancroft Ontario, N4503-N4503 W07752-W07752
Band-e-Amir Iran, N2948-N2948 E05252-E05252
Banda Sea, S0800-S0300 E13300-E12600
Bandai, N3736-N3736 E14005-E14005
Bandera County Texas, N2935-N2950 W09850-W09940
Bandundu Congo Democratic Republic, S0810-S0040 E02100-E01210
Banff Alberta, N5110-N5110 W11534-W11534
Banff National Park, N5045-N5215 W11500-W11720
Banffshire Scotland, N5704-N5742 W00216-W00340
Bangka, S0325-S0120 E10645-E10512
Bangkok Thailand, N1344-N1344 E10030-E10030
Bangladesh, N2030-N2632 E09240-E08800
Banja Luka Bosnia-Herzegovina, N4447-N4447 E01711-E01711
Bank Azerbaijan, N3926-N3926 E04915-E04915
Banks County Georgia, N3412-N3430 W08320-W08340
Banner County Nebraska, N4125-N4140 W10325-W10405
Bannock Basin, N3415-N3424 E02008-E01959
Bannock County Idaho, N4215-N4302 W11152-W11243
Bannock Range, N4210-N4250 W11215-W11240
Banska Stiavnica Slovakia, N4829-N4829 E01850-E01850
Baoha Vietnam, N2210-N2210 E10422-E10422
Baraboo Wisconsin, N4327-N4327 W08945-W08945
Baraga County Michigan, N4625-N4658 W08758-W08845
Barakar India, N2407-N2407 E08614-E08614
Baraolt Romania, N4604-N4604 E02536-E02536
Barataria Bay, N2910-N2935 W08945-W09015
Barbados, N1300-N1320 W05920-W05945
Barber County Kansas, N3700-N3725 W09822-W09900
Barberton South Africa, S2548-S2548 E03103-E03103
Barbour County Alabama, N3137-N3210 W08505-W08542
Barbour County West Virginia, N3855-N3915 W07947-W08015
Barbuda, N1730-N1750 W06135-W06155
Barcelona City Spain, N4125-N4125 E00210-E00210
Barcelona Spain, N4110-N4220 E00250-E00122
